,pos_product,matched_iheart_product,match_score,matched_jane_product_id
0,solid marijuana infused edible dark chocolate sea salt -sativa- gold leaf,dark chocolate sea salt sativa gold leaf edible chocolates,90,32462.0
1,solid marijuana infused edible grape gummies -hybrid- gold leaf,grape gummies hybrid gold leaf edible candies,90,119802.0
2,solid marijuana infused edible green apple 2:1 gummies -cbd- gold leaf,2:1 green apple cbd gold leaf edible candies,90,104420.0
3,solid marijuana infused edible orange gummies 1:1 -cbd- gold leaf,1:1 orange gummy cbd gold leaf edible capsules,79,32459.0
4,solid marijuana infused edible strawberry gummies -sativa- gold leaf,grape gummies none gold leaf edible candies,72,30876.0
5,usable marijuana ace's high flower -1.0g- grassroots,,-1,
6,solid marijuana infused edible agave lime lozenges (5-pack) -100mg - pts,,-1,
7,marijuana extract for inhalation apple jack disposable vaporizer - natures grace,,-1,
8,marijuana extract for inhalation atf vaporizer cartridge - pharmacann,,-1,
9,marijuana infused topicals bath bombs (2-pack) -100mg- ieso,,-1,
10,solid marijuana infused edible berry cherry granola bar single 1:1 -25mg- gold leaf,,-1,
11,marijuana extract for inhalation birthday cake disposable vaporizer - nature's grace,birthday cake hybrid nature's grace and wellness vaporizer disposables,71,32510.0
12,marijuana extract for inhalation blockhead gold dust -1.0g- bedford grow,blockhead hybrid bedford grow extract other,82,112741.0
13,usable marijuana blueberry boost flower -1.0g- ieso,,-1,
14,marijuana extract for inhalation blueberry boost vaporizer cartridge -500mg- ieso,blueberry boost vaporizer cartridge none ieso cartridges,83,111864.0
15,usable marijuana blueberry headband -3.5g- rythm,,-1,
16,marijuana extract for inhalation blueberry melon disposable vaporizer -200mg- natures grace,,-1,
17,solid marijuana infused edible brownie pop cbd (4-pack) - sccs,brownie pop cbd sccs edible baked goods,82,97210.0
18,marijuana extract for inhalation bruce banner #3 raw wax -1.0g- gold leaf,,-1,
19,marijuana extract for inhalation bruce banner #3 vaporizer cartridge -500mg- gold leaf,bruce banner #3 hybrid gold leaf vaporizer cartridges,79,78857.0
20,usable marijuana bubble gum -3.5g- nature's grace,,-1,
21,usable marijuana bubble gum shake -7.0g- natures grace,,-1,
22,marijuana extract for inhalation bubble gum vaporizer cartridge -500mg- nature's grace,,-1,
23,marijuana extract for inhalation cannalope kush vaporizer cartridge -500mg- nature's grace,cannalope kush hybrid nature's grace and wellness vaporizer cartridges,72,32713.0
24,solid marijuana infused edible cbd 1:1 milk chocolate all natural -50mg- rythm,,-1,
25,solid marijuana infused edible cbn capsules (10-pack) -75mg- cresco,cbn capsules (10-pack) -75mg- cresco none labs edible,89,49179.0
26,usable marijuana chem 4 - 1.0g - grassroots,,-1,
27,marijuana extract for inhalation chemdahar vaporizer cartridge -500mg- bedford grow,chemdahar hybrid bedford grow vaporizer cartridges,78,113033.0
28,marijuana extract for inhalation chemdawg 91 sunrock shatter -1.0g- gold leaf,,-1,
29,usable marijuana cherry wu shake -14.0g- bedford grow,,-1,
30,marijuana extract for inhalation cherrygasm vaporizer cartridge -500mg- ieso,cherrygasm hybrid ieso vaporizer cartridges,74,103896.0
31,marijuana extract for inhalation chicago blue dream vaporizer cartridge -500mg- natures grace,,-1,
32,solid marijuana infused edible chocolate chip cookies 1:1 (4-pack) - sccs,,-1,
33,solid marijuana infused edible chocolate dipped tart cherries (10-pack) -100mg- igf,,-1,
34,usable marijuana chocolate mint flower -1.0g- sccs,chocolate mint none sccs flower,91,82412.0
35,solid marijuana infused edible chocolate penny cbd (4-pack) - sccs,chocolate penny cbd sccs edible chocolates,85,32695.0
36,usable marijuana chunky diesel -3.5g- cresco,,-1,
37,usable marijuana chunky diesel shake -7.0g- cresco,,-1,
38,solid marijuana infused edible cinnamon apple lozenges (5-pack) -100mg- pts,,-1,
39,marijuana extract for inhalation citrix vaporizer cartridge -500mg- gold leaf,citrix hybrid gold leaf vaporizer cartridges,74,93683.0
40,usable marijuana clementine popcorn -14.0g- cresco,,-1,
